module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
August Storm Harness,storm-setup,Storm Setup,SS,Write and verify the sparse _bmad/custom/ overrides that wire storm into the stock BMM workflows. Run once after install and in check mode after every BMAD update.,,[check],anytime,,,true,_bmad/custom,override TOML files + verification report
August Storm Harness,storm-grilling,Grilling Interview,SG,Relentless one-question-at-a-time interview to shared understanding with domain-model capture into the project glossary and ADRs. Ported from mattpocock/skills grilling + domain-modeling.,,[topic or story],anytime,,,false,,shared understanding + glossary/ADR updates
August Storm Harness,storm-tdd,TDD at Seams,ST,Red-green loop at the story's pre-agreed seams: good tests through public interfaces with project gdUnit4 conventions; no test at an unconfirmed seam. Ported from mattpocock/skills tdd.,,,anytime,storm-grilling,,false,tests,unit tests in source-area subtrees
August Storm Harness,storm-linear,Linear Tracker Operations,SL,Execute tracker operations against Linear under the phase-split authority contract: publish specs to story issues and comment/close/reconcile without violating status ownership.,,[operation],anytime,,,false,,Linear issue mutations
August Storm Harness,storm-spec-review,Cross-Model Spec Review,SR,Adversarial spec review panel: BMAD lenses plus host-selected Tier 2 reviewers (Polytoken subagents or external CLI reviewers) on a self-contained packet. Run before a spec is published to Linear.,,[spec path],anytime,storm-grilling,storm-linear,false,implementation_artifacts,review packet + triaged findings
August Storm Harness,storm-cross-review,Cross-Model Code Review,SX,Host-selected Tier 2 code review panel (Polytoken subagents or external CLI reviewers) over a diff+spec packet; merges findings into bmad-code-review triage format and loops until clean or max rounds.,,[diff ref],anytime,bmad-code-review,,false,implementation_artifacts,review packet + triaged findings
August Storm Harness,storm-reconcile,Tracker Drift Audit,SD,Three-way consistency audit of epics.md vs Linear vs sprint-status.yaml with the phase-decides rule applied; reports divergence and proposed fixes.,,,anytime,,,false,implementation_artifacts,drift report
August Storm Harness,storm-harness-improvement,Harness Improvement,SH,Bounded loop for improving agent instructions skills tools or checks after a trajectory exposes avoidable friction; promotes lessons into their narrowest authoritative home.,,,anytime,,,false,,harness change + rationale record
August Storm Harness,storm-orchestrate,Polytoken Orchestrator,SO,Coordinate independent Storm specialist lanes through native todos and jobs with dependency frontiers ownership checks terminal-result reconciliation and finalization gates.,,,anytime,,,false,implementation_artifacts,lane records + reconciled results
August Storm Harness,storm-council,Polytoken Council,SC,Manual advisory multi-model Council with exact configured model references failed-member reporting and no silent fallback; cannot replace review gates.,,,anytime,,,false,implementation_artifacts,Council synthesis
August Storm Harness,storm-status,Polytoken Status Board,SB,Project native /jobs and /todo state into a projection showing ownership dependencies terminal results and reconciliation without a second task store.,,,anytime,,,false,implementation_artifacts,status projection
August Storm Harness,storm-team,Polytoken Team Profile,SP,Approval-gated managed specialist profile activation with transactional swap backup rollback and /reload guidance; not /preset parity.,,activate <profile> | rollback,anytime,,,false,.polytoken/storm,managed profile + ownership manifest
August Storm Harness,storm-doctor,Storm Doctor,SDR,Read-only machine-readable audit of module assets projection capabilities permissions hooks aliases profile and Linear/goal consistency; proposes repairs only.,,,anytime,,,false,implementation_artifacts,JSON diagnostic report
August Storm Harness,storm-conformance,Workflow Conformance,SW,Validate canonical workflow transcripts aliases and authority transitions from the machine-readable Storm contract; deterministic and standard-library only.,,validate <transcript>,anytime,,,false,implementation_artifacts,conformance report
August Storm Harness,storm-verification-planning,Verification Planning,SV,Define claims uncertainty failure modes evidence paths observability reversibility and limits before non-trivial work; approval required for instrumentation or dependencies.,,,anytime,,,false,implementation_artifacts,verification plan
August Storm Harness,storm-codemap,Codemap,CMP,Create or incrementally update architectural maps only on explicit invocation without competing with project context or AGENTS ownership.,,,anytime,,,false,docs,codemap
August Storm Harness,storm-worktrees,Approval-Gated Worktrees,SWG,Use isolated Git lanes only with explicit authority and mandatory dirty-tree plus pre-integration diff/build/test checks.,,,anytime,,,false,,worktree evidence
August Storm Harness,storm-clonedeps,Cloned Dependency Source,SCD,Inspect approved direct dependencies from HTTPS pinned revisions without executing dependency scripts; store clones in ignored non-authoritative paths.,,,anytime,,,false,,dependency source notes
